pos,neg,neu,compound,cleaned_comment
0.0,0.0,1.0,0.0,terimakasih bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,salah warga mewakili pengungsi korban gempa cianjur berterima kasih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,andreas insap perwakilan dinas kesehatan kabupaten cianjur senang bin melayani masyarakat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.359,0.641,-0.4215,korban gempa cianjur layanan trauma healingbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bian bantu layanan kesehatan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,cepat bin pelayanan kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,layanan kesehatan bin korban gempa cianjur diapresiasibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.259,0.741,-0.4215,trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin kerahkan bantuan wilayah terpencil korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,bin tembus daerah terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.189,0.811,-0.4215,tim trauma healing bin bangkitkan semangat mental korban gempa cianjur keren bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.203,0.797,-0.4215,bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,tim kemanusian bin sisir warga terdampak gempa cianjur hinga desa terisolir binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,terima kasih bin bergerak cepat bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.384,0.616,-0.6808,menghilangkan trauma korban gempa cianjur bin menurunkan tim trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,banga tindakan lakukan bin korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin cepat tangap bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,apresiasi bin membangkitkan semangat warga korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.286,0.714,-0.4215,tim trauma healing bangkitkan semangat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.219,0.781,-0.4215,bin terjunkan tim trauma healing bangkitkan semangat warga korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
